timestamp,frame,track_id,line_index,cx,cy,speed_kmh
16:27:28.178,17,3,4,1187,1829,2.4
16:27:50.484,48,10,3,1926,1894,2.2
16:28:18.156,86,12,8,2121,258,2.5
16:28:25.129,97,8,0,2739,1504,0.2
16:28:32.871,109,6,1,2601,1607,1.3
16:28:42.865,124,14,3,1919,1895,2.3
16:28:44.408,126,3,2,2245,1827,2.3
16:29:26.572,180,1,5,856,1464,2.1
16:29:27.450,181,19,4,1193,1823,2.1
16:30:05.063,232,17,3,1971,1872,2.2
16:30:12.212,241,25,4,1197,1830,2.1
16:30:27.612,262,29,7,1644,192,0
16:30:31.662,267,12,5,859,1467,2.3
16:30:35.945,273,22,8,2359,217,1.7
16:31:16.572,331,8,9,2867,449,2.0
16:32:04.048,389,34,8,2338,206,1.3
16:32:33.417,427,19,9,2795,550,2.5
16:32:33.985,428,35,8,2445,279,2.1
16:32:58.642,462,6,5,964,1589,2.3
16:33:05.870,471,25,9,2829,551,2.7
16:33:30.674,505,22,5,854,1467,2.8
